代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
102212643946758144, 000828, 0P00014HCP, 泰达宏利转型机遇股票A, 大盘平衡股票, 5, 5, 75.58
102212645913886720, 000336, 0P0000ZQ30, 农银研究精选混合, 积极配置-大盘平衡, 5, 5, 50.64
102212647532888064, 550009, F0000004IM, 信诚中小盘混合, 积极配置-大盘平衡, 5, 5, 72.42
102212649260941312, 003853, 0P0001D5H7, 金鹰信息产业股票A, 行业股票 - 科技、传媒及通讯, 5, 0, 46.40
102212650917691392, 005885, 0P0001D5H8, 金鹰信息产业股票C, 行业股票 - 科技、传媒及通讯, 5, 0, 45.92
102212652620578816, 003984, 0P00019L9P, 嘉实新能源新材料股票A, 大盘平衡股票, 5, 0, 36.10
102212654138916864, 001644, 0P00016LM1, 汇丰晋信智造先锋股票C, 大盘平衡股票, 5, 5, 31.47
102212655732752384, 003985, 0P00019L9Q, 嘉实新能源新材料股票C, 大盘平衡股票, 5, 0, 35.54
102212657288839168, 400015, 0P0001DKHI, 东方新能源汽车主题混合, 积极配置-大盘平衡, 5, 0, 74.40
102212658937200640, 005968, 0P0001DBFS, 创金合信工业周期精选股票A, 大盘平衡股票, 5, 0, 33.68
102212660518453248, 481010, F0000004IN, 工银中小盘混合, 积极配置-大盘平衡, 5, 4, 27.39
102212662116483072, 005969, 0P0001DBFT, 创金合信工业周期精选股票C, 大盘平衡股票, 5, 0, 32.91
102212663861313536, 001410, 0P0001696E, 信达澳银新能源产业股票, 大盘平衡股票, 5, 5, 49.21
102212665547423744, 000209, 0P0000YYWI, 信诚新兴产业混合A, 积极配置-大盘平衡, 5, 4, 107.43
102212667275476992, 001245, 0P00015ZIV, 工银生态环境股票, 大盘平衡股票, 5, 4, 70.65
102212668877701120, 003834, 0P0001ACCP, 华夏能源革新股票A, 大盘平衡股票, 5, 0, 52.28
102212670630920192, 004784, 0P0001BI6K, 招商稳健优选股票, 大盘平衡股票, 5, 0, 67.86
102212672296058880, 001643, 0P00016LM0, 汇丰晋信智造先锋股票A, 大盘平衡股票, 5, 5, 32.02
102212673969586176, 540008, 0P0000NX49, 汇丰晋信低碳先锋股票A, 大盘平衡股票, 5, 3, 44.53
102212675706028032, 004812, 0P0001CGEW, 中欧先进制造股票A, 沪港深股票型基金, 5, 0, 45.35
102212677346000896, 004813, 0P0001CGEX, 中欧先进制造股票C, 沪港深股票型基金, 5, 0, 44.40
102212678994362368, 165516, 0P0000VO6G, 信诚周期轮动混合（LOF）, 积极配置-大盘平衡, 5, 5, 45.39
102212680688861184, 700003, 0P0000VVO0, 平安策略先锋混合, 标准混合型, 5, 5, 66.11
102212682316251136, 002168, 0P000176WZ, 嘉实智能汽车股票, 大盘平衡股票, 5, 5, 33.31
102212684048498688, 090018, 0P0000VE3A, 大成新锐产业混合, 积极配置-大盘平衡, 5, 5, 80.18
102212709533089792, 004997, 0P0001BFNL, 广发高端制造股票A, 大盘平衡股票, 5, 0, 25.49
102212711311474688, 001476, 0P0001660F, 中银智能制造股票A, 大盘平衡股票, 5, 4, 49.25
102212712943058944, 000924, 0P00014ZW6, 宝盈先进制造灵活配置混合A, 积极配置-大盘平衡, 5, 5, 36.89
102212714662723584, 001790, 0P0001B6HP, 国泰智能汽车股票A, 大盘平衡股票, 5, 0, 38.90
102212716483051520, 398051, 0P0000Q7VG, 中海环保新能源混合, 标准混合型, 5, 5, 61.61
102212718232076288, 501057, 0P0001D43M, 汇添富中证新能源汽车产业指数（LOF）A, 大盘平衡股票, 5, 0, 59.42
102212720094347264, 001279, 0P00015XQU, 中海积极增利灵活配置混合, 积极配置-大盘平衡, 5, 5, 64.75
102212721843372032, 005794, 0P0001DF2Q, 银华心怡灵活配置混合, 沪港深积极配置型, 5, 0, 47.31
102212723437207552, 005668, 0P0001D9OF, 融通新能源汽车主题精选灵活配置混合A, 沪港深积极配置型, 5, 0, 28.39
102212725098151936, 610004, F0000004HC, 信达澳银中小盘混合, 积极配置-大盘平衡, 5, 5, 58.37
102212726675210240, 004925, 0P0001BP1Y, 长信低碳环保行业量化股票A, 大盘平衡股票, 5, 0, 66.36
102212728344543232, 005927, 0P0001D725, 创金合信新能源汽车主题股票A, 大盘平衡股票, 5, 0, 76.42
102212730101956608, 519126, 0P00012R6S, 浦银安盛新经济结构灵活配置混合A, 积极配置-大盘平衡, 5, 4, 41.95
102212731876147200, 000541, 0P00011XG7, 华商创新成长灵活配置混合, 积极配置-大盘平衡, 5, 3, 37.54
102212733503537152, 000409, 0P00011WBT, 鹏华环保产业股票, 大盘平衡股票, 5, 5, 50.30
102212735164481536, 001616, 0P000171KA, 嘉实环保低碳股票, 大盘平衡股票, 5, 5, 24.77
102212737051918336, 161028, 0P00015HK1, 富国中证新能源汽车指数A, 大盘平衡股票, 5, 3, 56.64
102212738868051968, 006265, 0P0001EBV7, 红土创新新科技股票, 行业股票 - 科技、传媒及通讯, 5, 0, 37.51
102212740461887488, 501058, 0P0001D43N, 汇添富中证新能源汽车产业指数（LOF）C, 大盘平衡股票, 5, 0, 59.08
102212742202523648, 519002, 0P0000YVK0, 华安安信消费混合A, 积极配置-大盘平衡, 5, 5, 29.74
102212743897022464, 005136, 0P0001BOT2, 华安幸福生活混合, 积极配置-大盘平衡, 5, 0, 34.79
102212745641852928, 005630, 0P0001CM8P, 华安研究精选混合A, 积极配置-大盘平衡, 5, 0, 34.73
102212747336351744, 001694, 0P00017BUF, 华安沪港深外延增长混合, 沪港深积极配置型, 5, 5, 18.06
102212749546749952, 210003, F0000004FZ, 金鹰行业优势混合, 积极配置-大盘平衡, 5, 5, 65.11
102212751673262080, 481015, 0P0000U0ZS, 工银主题策略混合A, 积极配置-大盘平衡, 5, 3, 18.41
102212782966964224, 960007, 0P00016FTB, 上投摩根新兴动力混合H, 积极配置-大盘平衡, 5, 5, 39.96
102212784804069376, 610006, 0P0000T2DB, 信达澳银产业升级混合, 积极配置-大盘平衡, 5, 3, 60.57
102212786490179584, 005825, 0P0001D4T5, 申万菱信智能驱动股票, 大盘平衡股票, 5, 0, 38.75
102212788281147392, 005038, 0P0001BGWA, 银华新能源新材料量化优选股票C, 大盘平衡股票, 5, 0, 60.34
102212790059532288, 000592, 0P00012NRY, 建信改革红利股票, 大盘平衡股票, 5, 5, 37.84
102212791712088064, 004640, 0P0001B7FB, 华夏节能环保股票, 大盘平衡股票, 5, 0, 20.07
102212793368838144, 001126, 0P00015IDX, 上投摩根卓越制造股票, 大盘平衡股票, 5, 5, 13.43
102212795084308480, 001054, 0P00015G3U, 工银新金融股票A, 大盘平衡股票, 5, 5, 28.93
102212796703309824, 001717, 0P000176PX, 工银前沿医疗股票A, 行业股票 - 医药, 5, 5, 18.00
102212798418780160, 000991, 0P00015AHP, 工银战略转型股票A, 大盘平衡股票, 5, 5, 15.94
102212800163610624, 020023, 0P0000TOF3, 国泰事件驱动策略混合, 积极配置-大盘平衡, 5, 5, 18.24
102212801929412608, 202027, 0P00013P60, 南方高端装备灵活配置混合A, 积极配置-大盘平衡, 5, 5, 40.55
102212803711991808, 001956, 0P000176X0, 国联安科技动力股票, 行业股票 - 科技、传媒及通讯, 5, 5, 24.91
102212805272272896, 377240, 0P0000THD5, 上投摩根新兴动力混合A, 积极配置-大盘平衡, 5, 5, 39.99
102212806954188800, 005928, 0P0001D726, 创金合信新能源汽车主题股票C, 大盘平衡股票, 5, 0, 75.41
102212808657076224, 005037, 0P0001BGW9, 银华新能源新材料量化优选股票A, 大盘平衡股票, 5, 0, 60.86
102212810372546560, 003567, 0P00019HX6, 华夏行业景气混合, 积极配置-大盘平衡, 5, 0, 72.44
