代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
167407075691855872, 000729, 0P00013OUD, 建信中小盘先锋股票A, 中盘成长股票, 5, 5, -25.30
167407077315051520, 519133, 0P00017PQ1, 海富通改革驱动灵活配置混合, 积极配置 - 大盘成长, 5, 5, -25.89
167407079173128192, 004813, 0P0001CGEX, 中欧先进制造股票C, 沪港深股票, 5, 0, -33.41
167407081270280192, 006265, 0P0001EBV7, 红土创新新科技股票, 行业股票-科技、传媒及通讯, 5, 0, -35.96
167407082897670144, 001790, 0P0001B6HP, 国泰智能汽车股票A, 大盘成长股票, 5, 0, -36.72
167407084462145536, 000739, 0P000155JJ, 平安新鑫先锋混合A, 灵活配置, 5, 5, -25.65
167407086055981056, 001515, 0P000168G5, 平安新鑫先锋混合C, 灵活配置, 5, 5, -25.75
167407088752918528, 001858, 0P0001C2HM, 建信鑫利灵活配置混合, 灵活配置, 5, 0, -32.58
167407090489360384, 004390, 0P00019RV0, 平安转型创新灵活配置混合A, 积极配置 - 大盘成长, 5, 0, -32.71
167407092469071872, 004997, 0P0001BFNL, 广发高端制造股票A, 大盘成长股票, 5, 0, -36.26
167407094209708032, 001480, 0P00016687, 财通成长优选混合, 积极配置 - 大盘成长, 5, 4, -3.01
167407096168448000, 001569, 0P00016K4F, 泰信国策驱动灵活配置混合, 积极配置 - 大盘成长, 5, 3, -32.14
167407099477753856, 001959, 0P0001706I, 华商乐享互联灵活配置混合A, 积极配置 - 大盘成长, 5, 3, -14.63
167407101944004608, 005233, 0P0001C5QV, 广发睿毅领先混合A, 积极配置 - 大盘平衡, 5, 0, -2.40
167407103563005952, 002083, 0P00017YJO, 新华鑫动力灵活配置混合A, 灵活配置, 5, 4, -33.98
167407105836318720, 519195, 0P00017LU0, 万家品质生活灵活配置混合, 积极配置 - 大盘成长, 5, 5, -16.27
167407107472097280, 002084, 0P00017YJP, 新华鑫动力灵活配置混合C, 灵活配置, 5, 4, -34.00
167407109342756864, 004391, 0P00019RV1, 平安转型创新灵活配置混合C, 积极配置 - 大盘成长, 5, 0, -32.88
167407111238582272, 005968, 0P0001DBFS, 创金合信工业周期精选股票A, 大盘成长股票, 5, 0, -35.67
167407114795352064, 002910, 0P000198X6, 易方达供给改革灵活配置混合, 积极配置 - 中小盘, 5, 4, -19.29
167407139600465920, 003304, 0P00018ME8, 前海开源沪港深核心资源灵活配置混合A, 沪港深灵活配置, 5, 5, -6.05
167407141206884352, 006348, 0P0001F5K3, 银华盛利混合, 沪港深积极配置, 5, 0, -28.11
167407142771359744, 001719, 0P000177QR, 工银国家战略股票, 大盘成长股票, 5, 5, -6.17
167407144985952256, 003305, 0P00018ME9, 前海开源沪港深核心资源灵活配置混合C, 沪港深灵活配置, 5, 5, -6.05
167407148660162560, 001054, 0P00015G3U, 工银新金融股票A, 大盘成长股票, 5, 5, -27.23
167407150899920896, 000924, 0P00014ZW6, 宝盈先进制造灵活配置混合A, 积极配置 - 大盘成长, 5, 5, -40.36
167407152858660864, 005730, 0P0001CSQ3, 国泰江源优势精选灵活配置混合A, 积极配置 - 大盘成长, 5, 0, -25.83
167407154980978688, 005969, 0P0001DBFT, 创金合信工业周期精选股票C, 大盘成长股票, 5, 0, -35.81
167407157354954752, 002669, 0P000182ZQ, 华商万众创新灵活配置混合, 积极配置 - 大盘成长, 5, 4, -35.36
167407159024287744, 450004, F0000004A9, 国富深化价值混合, 积极配置 - 大盘成长, 5, 5, -19.94
167407163734491136, 001933, 0P000178UF, 华商新兴活力灵活配置混合, 积极配置 - 大盘成长, 5, 4, -33.25
167407165726785536, 000803, 0P000148Y4, 工银研究精选股票, 大盘成长股票, 5, 5, -20.66
167407167467421696, 001717, 0P000176PX, 工银前沿医疗股票A, 行业股票-医药, 5, 5, -24.86
167407172697718784, 160421, 0P0001CXIU, 华安智增精选灵活配置混合（LOF）, 积极配置 - 大盘成长, 5, 5, -16.44
167407175398850560, 004895, 0P0001BDUB, 华商鑫安灵活配置混合, 积极配置 - 大盘成长, 5, 0, -34.17
167407177223372800, 001656, 0P0001AB1N, 农银汇理中国优势灵活配置混合, 灵活配置, 5, 0, -17.91
167407180390072320, 003857, 0P00019GDN, 前海开源周期优选灵活配置混合A, 灵活配置, 5, 5, -15.63
167407185943330816, 003567, 0P00019HX6, 华夏行业景气混合, 积极配置 - 中小盘, 5, 5, -34.08
167407189672067072, 006533, 0P0001FU7Y, 易方达科融混合, 沪港深积极配置, 5, 0, -31.70
167407191857299456, 003858, 0P00019GDO, 前海开源周期优选灵活配置混合C, 灵活配置, 5, 5, -15.66
167407194369687552, 000592, 0P00012NRY, 建信改革红利股票, 大盘成长股票, 5, 5, -33.63
167407196059992064, 001266, 0P0001AJOB, 国投瑞银招财灵活配置混合, 灵活配置, 5, 0, -8.59
167407197649633280, 162202, F020162202, 泰达宏利周期混合, 积极配置 - 大盘成长, 5, 4, -26.18
167407201143488512, 005821, 0P0001D62K, 万家新机遇龙头企业灵活配置混合A, 沪港深积极配置, 5, 0, -21.69
167407203341303808, 240022, 0P0000WGXF, 华宝资源优选混合A, 积极配置 - 大盘平衡, 5, 5, -12.44
167407252536295424, 001716, 0P000173T0, 工银新趋势灵活配置混合A, 灵活配置, 5, 5, -29.65
167407255564582912, 001279, 0P00015XQU, 中海积极增利灵活配置混合, 积极配置 - 大盘成长, 5, 5, -31.01
167407259037466624, 400032, 0P00015CVE, 东方主题精选混合, 积极配置 - 大盘成长, 5, 3, -38.56
167407262183194624, 000977, 0P00015JZ2, 长城环保主题灵活配置混合, 积极配置 - 大盘成长, 5, 4, -30.39
167407264049659904, 004745, 0P0001AKKN, 长盛创新驱动灵活配置混合, 灵活配置, 5, 0, -38.98
167407266583019520, 519126, 0P00012R6S, 浦银安盛新经济结构灵活配置混合A, 积极配置 - 大盘成长, 5, 4, -31.22
167407268478844928, 005630, 0P0001CM8P, 华安研究精选混合A, 积极配置 - 大盘成长, 5, 0, -26.82
167407270244646912, 217013, F0000004I4, 招商中小盘精选混合, 积极配置 - 大盘成长, 5, 5, -21.91
167407272270495744, 001508, 0P00016AJH, 富国新动力灵活配置混合A, 灵活配置, 5, 5, -16.85
167407274447339520, 005668, 0P0001D9OF, 融通新能源汽车主题精选灵活配置混合A, 沪港深积极配置, 5, 0, -39.23
167407277156859904, 001667, 0P00018CF9, 南方转型增长灵活配置混合A, 积极配置 - 大盘成长, 5, 4, -23.05
167407279069462528, 163822, 0P0000WMHT, 中银主题策略混合A, 积极配置 - 大盘成长, 5, 3, -25.75
167407280881401856, 288001, F0000003VH, 华夏经典配置混合, 标准混合, 5, 4, -15.55
167407282940805120, 040035, 0P0000WI7B, 华安逆向策略混合A, 积极配置 - 大盘成长, 5, 5, -24.61
167407284731772928, 001694, 0P00017BUF, 华安沪港深外延增长混合, 沪港深积极配置, 5, 5, -29.39
167407286422077440, 200015, 0P0000VOHJ, 长城优化升级混合A, 积极配置 - 大盘成长, 5, 5, -28.94
167407288053661696, 501022, 0P0001EU2U, 银华鑫盛灵活配置混合（LOF）A, 灵活配置, 5, 0, -14.68
167407289844629504, 519181, F00000041F, 万家和谐增长混合, 积极配置 - 大盘成长, 5, 4, -20.07
167407291828535296, 001997, 0P000173T1, 工银新趋势灵活配置混合C, 灵活配置, 5, 5, -29.81
167407293502062592, 121010, 0P0001CLQB, 国投瑞银瑞源灵活配置混合A, 标准混合, 5, 0, -7.09
167407295683100672, 001410, 0P0001696E, 信达澳银新能源产业股票, 中盘成长股票, 5, 5, -35.66
167407300263280640, 206012, 0P0000VN9R, 鹏华价值精选股票, 大盘成长股票, 5, 4, -27.29
167407302171688960, 001702, 0P00016H50, 东方创新科技混合, 行业混合 - 科技、传媒及通讯, 5, 3, -42.22
167407304046542848, 003961, 0P00019C5E, 易方达瑞程灵活配置混合A, 积极配置 - 大盘成长, 5, 5, -35.57
167407306139500544, 001445, 0P00016688, 华安国企改革主题灵活配置混合, 积极配置 - 大盘成长, 5, 5, -14.71
167407336825028608, 001473, 0P000169PX, 建信大安全战略精选股票, 大盘成长股票, 5, 5, -12.21
167407338842488832, 001510, 0P00016AJI, 富国新动力灵活配置混合C, 灵活配置, 5, 5, -16.96
167407340658622464, 530006, F0000004DK, 建信核心精选混合, 积极配置 - 大盘成长, 5, 5, -10.50
167407342718025728, 005680, 0P0001FLBD, 财通资管价值成长混合A, 灵活配置, 5, 0, -33.26
167407344991338496, 002846, 0P00018OL3, 泓德泓华灵活配置混合, 积极配置 - 大盘成长, 5, 5, -28.23
167407347000410112, 163807, F0000004EQ, 中银优选混合A, 积极配置 - 大盘成长, 5, 5, -26.18
167407349877702656, 003985, 0P00019L9Q, 嘉实新能源新材料股票C, 大盘成长股票, 5, 5, -33.71
167407352629166080, 005352, 0P0001C8QZ, 鹏扬景泰成长混合A, 积极配置 - 大盘成长, 5, 0, -30.50
167407354617266176, 006751, 0P0001FDKQ, 富国互联科技股票A, 沪港深股票, 5, 0, -31.59
167407356483731456, 006257, 0P0001F358, 信达澳银先进智造股票, 沪港深股票, 5, 0, -36.44
167407358455054336, 006424, 0P0001F35A, 嘉合锦程价值精选混合A, 积极配置 - 大盘成长, 5, 0, -23.24
167407360061472768, 006567, 0P0001F35C, 中泰星元价值优选灵活配置混合A, 灵活配置, 5, 0, 0.23
167407361793720320, 002939, 0P00018E3V, 广发创新升级灵活配置混合, 积极配置 - 大盘成长, 5, 5, -32.88
167407363395944448, 003984, 0P00019L9P, 嘉实新能源新材料股票A, 大盘成长股票, 5, 5, -33.60
167407366558449664, 003962, 0P00019C5F, 易方达瑞程灵活配置混合C, 积极配置 - 大盘成长, 5, 5, -35.61
167407368739487744, 000263, 0P0000ZN12, 工银信息产业混合A, 行业混合 - 科技、传媒及通讯, 5, 5, -31.16
167407370886971392, 001366, 0P0001639K, 金鹰产业整合灵活配置混合A, 积极配置 - 大盘成长, 5, 4, -29.27
167407377144872960, 005596, 0P0001CR9O, 建信战略精选灵活配置混合A, 沪港深积极配置, 5, 0, -10.59
167407378889703424, 000756, 0P00013W23, 建信潜力新蓝筹股票A, 大盘成长股票, 5, 4, -22.31
167407380592590848, 005794, 0P0001DF2Q, 银华心怡灵活配置混合A, 沪港深积极配置, 5, 0, -25.25
167407382341615616, 001864, 0P00017EQI, 中海魅力长三角灵活配置混合, 灵活配置, 5, 5, -23.18
167407384203886592, 005597, 0P0001CR9P, 建信战略精选灵活配置混合C, 沪港深积极配置, 5, 0, -10.74
167407386024214528, 001220, 0P00015UUT, 民生加银研究精选灵活配置混合, 灵活配置, 5, 4, -24.28
167407388670820352, 000431, 0P00011JLO, 鹏华品牌传承混合, 积极配置 - 大盘成长, 5, 5, -28.90
167407391812354048, 270028, 0P0000TVGO, 广发制造业精选混合A, 积极配置 - 大盘成长, 5, 4, -37.26
167407417242419200, 005353, 0P0001C8R0, 鹏扬景泰成长混合C, 积极配置 - 大盘成长, 5, 0, -30.59
167407418911752192, 001387, 0P00016ZCP, 中融新经济灵活配置混合A, 积极配置 - 大盘成长, 5, 0, -35.97
167407421050847232, 001479, 0P0001722I, 中邮风格轮动灵活配置混合, 灵活配置, 5, 5, -18.64
167407422623711232, 519003, F0000003VG, 海富通收益增长混合, 标准混合, 5, 5, -21.96
167407424293044224, 001388, 0P00016ZCQ, 中融新经济灵活配置混合C, 积极配置 - 大盘成长, 5, 5, -36.01
167407425962377216, 006527, 0P0001FDTA, 富国优质发展混合A, 沪港深积极配置, 5, 0, -22.96
167407433340157952, 005775, 0P0001E1LV, 中加转型动力灵活配置混合A, 灵活配置, 5, 0, -8.22
167407436947259392, 000547, 0P000123ZD, 建信健康民生混合A, 积极配置 - 大盘成长, 5, 5, -30.64
167407438796947456, 005815, 0P0001D6WS, 农银汇理睿选灵活配置混合, 灵活配置, 5, 0, -24.80
167407440449503232, 004075, 0P00019RNV, 交银施罗德医药创新股票A, 行业股票-医药, 5, 5, -24.47
167407442039144448, 006051, 0P0001FDKU, 鹏扬核心价值灵活配置混合A, 沪港深积极配置, 5, 0, -31.51
167407443649757184, 003714, 0P000198XE, 英大睿盛灵活配置混合C, 积极配置 - 大盘平衡, 5, 5, -23.06
167407447563042816, 003713, 0P000198XD, 英大睿盛灵活配置混合A, 积极配置 - 大盘平衡, 5, 5, -23.02
167407450520027136, 001298, 0P00015ZIU, 金鹰民族新兴灵活配置混合, 积极配置 - 大盘成长, 5, 5, -41.22
167407452134834176, 001043, 0P00015HXD, 工银美丽城镇主题股票A, 大盘成长股票, 5, 5, -16.31
167407454324260864, 000584, 0P00012D3Y, 新华鑫益灵活配置混合C, 灵活配置, 5, 5, -31.03
167407456475938816, 750001, 0P0000W75L, 安信灵活配置混合, 积极配置 - 大盘成长, 5, 5, -11.54
167407458820554752, 530001, F0000003YQ, 建信恒久价值混合, 积极配置 - 大盘成长, 5, 4, -34.29
167407461936922624, 519095, 0P0000OP9P, 新华行业周期轮换混合, 积极配置 - 大盘成长, 5, 3, -28.77
167407468861718528, 000390, 0P0000ZXLP, 华商优势行业混合, 积极配置 - 大盘成长, 5, 5, -9.99
167407470904344576, 001907, 0P0001C2HI, 国投瑞银境煊灵活配置混合A, 积极配置 - 中小盘, 5, 0, -22.73
167407472565288960, 121008, F00000047P, 国投瑞银成长优选混合, 积极配置 - 大盘成长, 5, 4, -16.75
167407476029784064, 006252, 0P0001EOHJ, 永赢消费主题灵活配置混合A, 灵活配置, 5, 0, -28.08
167407481218138112, 006624, 0P0001FVJY, 中泰玉衡价值优选混合, 灵活配置, 5, 0, 0.35
167407483105574912, 001171, 0P00015QIY, 工银养老产业股票A, 行业股票-医药, 5, 5, -23.38
167407505893228544, 006253, 0P0001EOHK, 永赢消费主题灵活配置混合C, 灵活配置, 5, 0, -28.12
167407510754426880, 006002, 0P0001DI8Q, 工银医药健康股票A, 行业股票-医药, 5, 0, -25.73
167407513640108032, 005776, 0P0001E1LW, 中加转型动力灵活配置混合C, 灵活配置, 5, 0, -8.45
167407516924248064, 001457, 0P000167MF, 华商新常态灵活配置混合, 积极配置 - 大盘成长, 5, 3, -33.21
167407523161178112, 001908, 0P0001C2HL, 国投瑞银境煊灵活配置混合C, 积极配置 - 中小盘, 5, 0, -22.87
167407525535154176, 000541, 0P00011XG7, 华商创新成长灵活配置混合, 积极配置 - 大盘成长, 5, 3, -37.18
167407529947561984, 005739, 0P0001CXPR, 富国转型机遇混合, 积极配置 - 大盘成长, 5, 0, -23.65
