代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
67707119045967872, 217013, F0000004I4, 招商中小盘精选混合, 积极配置型, 5, 5, 19.68
67707124142047232, 040035, 0P0000WI7B, 华安逆向策略混合, 积极配置型, 5, 4, 16.51
67707129322012672, 400032, 0P00015CVE, 东方主题精选混合, 积极配置型, 5, 3, 30.05
67707135428919296, 519727, 0P0000YMY5, 交银成长30混合, 积极配置型, 5, 4, 5.05
67707141128978432, 090018, 0P0000VE3A, 大成新锐产业混合, 积极配置型, 5, 5, 47.59
67707147558846464, 519095, 0P0000OP9P, 新华行业周期轮换混合, 积极配置型, 5, 4, 32.40
67707152826892288, 004851, 0P0001B8TX, 广发医疗保健股票A, 行业股票 - 医药, 5, 0, 13.13
67707158145269760, 360016, 0P0000V0I1, 光大保德信行业轮动混合, 积极配置型, 5, 4, 4.72
67707164969402368, 001717, 0P000176PX, 工银瑞信前沿医疗股票A, 行业股票 - 医药, 5, 5, 22.80
67707170392637440, 004075, 0P00019RNV, 交银施罗德医药创新股票, 行业股票 - 医药, 5, 0, 14.63
67707176168194048, 005453, 0P0001CCUF, 前海开源医疗健康灵活配置混合A, 行业混合 - 医药, 5, 0, 7.58
67707181620789248, 000547, 0P000123ZD, 建信健康民生混合, 积极配置型, 5, 5, 26.26
67707187094355968, 002340, 0P00017KSZ, 富国价值优势混合, 积极配置型, 5, 5, 22.93
67707192718917632, 002980, 0P00018HA3, 华夏创新前沿股票, 普通股票型, 5, 0, 16.83
67707198469308416, 160632, 0P00015U43, 鹏华中证酒指数（LOF）A, 行业股票 - 消费, 5, 5, 1.41
67707203695411200, 002482, 0P00017ZBF, 宝盈互联网沪港深灵活配置混合, 沪港深积极配置型, 5, 5, 18.70
67707254274523136, 001070, 0P00015FPY, 建信信息产业股票, 行业股票 - 科技、传媒及通讯, 5, 5, 26.67
67707260297543680, 519150, 0P0000W40Z, 新华优选消费混合, 积极配置型, 5, 5, 16.93
67707266328952832, 206012, 0P0000VN9R, 鹏华价值精选股票, 普通股票型, 5, 4, 19.08
67707271894794240, 180012, F000000416, 银华富裕主题混合, 积极配置型, 5, 5, 17.01
67707277691322368, 003956, 0P00019FL3, 南方现代教育股票, 行业股票 - 科技、传媒及通讯, 5, 0, 17.15
67707283928252416, 070021, 0P0000Q6RW, 嘉实主题新动力混合, 积极配置型, 5, 3, 24.69
67707290056130560, 001887, 0P00016PDG, 中欧价值智选回报混合E, 积极配置型, 5, 5, 33.55
67707296771211264, 005763, 0P0001D62D, 中欧电子信息产业沪港深股票C, 沪港深股票型基金, 5, 0, 35.21
67707303645675520, 005904, 0P0001D8QC, 华泰保兴成长优选混合A, 积极配置型, 5, 0, 15.92
67707311178645504, 001039, 0P00015T6Z, 嘉实先进制造股票, 普通股票型, 5, 4, 20.90
67707317046476800, 005075, 0P0001BKQH, 富国研究量化精选混合, 积极配置型, 5, 0, 23.33
67707322696204288, 240011, F0000004CZ, 华宝大盘精选混合, 积极配置型, 5, 4, 7.47
67707328874414080, 005543, 0P0001CP5U, 银华心诚灵活配置混合, 沪港深积极配置型, 5, 0, 17.73
67707334809354240, 005642, 0P0001CNFP, 鹏扬景升灵活配置混合A, 沪港深积极配置型, 5, 0, 18.20
67707341272776704, 519704, 0P0000T3GY, 交银先进制造混合, 积极配置型, 5, 5, 18.59
